id,rank,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9,rot10,rot11,notes
1,,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PEDS Chi Truong Emanate Health West Covina ,SELEC - - ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,SELEC - - ,EM M. Agron Methodist Hospital of Southern California Arcadia ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,PC II URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,PC III URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,"INT MED Ricardo Saca Ricardo Saca, MD Chino ",PC I FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,surgery during XMAS
2,,FP/COMM PSY Howard Fishbein Family Care Centers Medical Group Inc Irvine GOOD,SELEC - - ,"SURG Simon B. Rayhanabad, MD & Vascular and General Surgery Associates Los Alamitos GOOD",PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,"PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",SELEC - - ,PC II FP/COMM PSY Michael Lee Concentra Urgent Care-Pomona Pomona ,EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,PC III URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,"INT MED Ricardo Saca Ricardo Saca, MD Chino ",
3,,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",PEDS Chi Truong Emanate Health West Covina ,SURG Anthony Oh Emanate Health West Covina ,PC I FP/COMM PSY Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,"INT MED David  Zarian David Zarian, MD Encino ",EM Kevin Hua Emanate Health West Covina ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SELEC - - ,PC III FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,PC II CARDIO Hooman Madyoon Westside Cardiovascular Beverly Hills ,surg Nov. locations: LA & west Cov/Chino
4,,PC I INT MED Jenny  Espinoza-Marcus CDCR Department of Corrections Norco ,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,EM Kevin Hua Emanate Health West Covina ,"SURG Simon B. Rayhanabad, MD & - Los Alamitos GOOD",SELEC - - ,PC II URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,"PC III INT MED Viney Soni R Viney Soni, MD Fountain Valley ","PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,NO--norco
5,,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SURG Robinson Baron Emanate Health West Covina ,"PC I FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",SELEC - - ,EM Kevin Hua Emanate Health West Covina ,SELEC - - ,OB/GYN Marlon Brooks Brooks Women's Center Granada Hills ,PC III URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,PEDS Chi Truong Emanate Health West Covina ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,Con: Granada Hills
6,,FP/COMM PSY Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",SURG Robinson Baron Emanate Health West Covina ,PC I FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,EM Kevin Hua Emanate Health West Covina ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,SELEC - - ,PEDS Chi Truong Emanate Health West Covina ,"PC III FP/COMM PSY Behzad Souferzackh R Behzad Soufer, DO, APC Sherman Oaks ",surg in Nov/ LA and West Covina
7,,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,INT MED James Stewart Stewart Medical Group Alhambra ,SELEC - - ,PEDS Chi Truong Emanate Health West Covina ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC III INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,SURG Raffaele Corbisiero Emanate Health West Covina ,PC II URGENT CARE Atul Bembi West Point Medical Clinic Fontana ,
8,,SELEC - - ,PC II CARDIO Hooman Madyoon Westside Cardiovascular Beverly Hills ,SURG Raffaele Corbisiero Emanate Health West Covina ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",PEDS Chi Truong Emanate Health West Covina ,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,PC I FP/COMM PSY Sharnjeet  Dosanjh Clinica Medical General Los Angeles ,OB/GYN K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",SELEC - - ,PC III URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,"location: LA, glendale, west covina"
9,,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,SELEC - - ,INT MED Gerald Ho Arthritis Center Alhambra ,PC III URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,SELEC - - ,PC II URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,CON: Apple Valley
10,,"INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SURG Anthony Oh Emanate Health West Covina ,OB/GYN Reza Ahmadinia - Apple Valley ,PEDS Reza Ahmadinia - Apple Valley ,EM Naomi Bjornstad St. Bernadine Medical Center San Bernardino ,PC I FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,SELEC - - ,"PC III URGENT CARE Walter Jones, III Redlands Yucaipa Medical Group Redlands ",SELEC - - ,PC II INT MED Gerald Ho Arthritis Center Alhambra ,CON: Redlands
11,,FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,INT MED Gerald Ho Arthritis Center Alhambra ,SURG - - ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PEDS Chi Truong Emanate Health West Covina ,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,SELEC - - ,PC II URGENT CARE John Alevizos Edinger Urgent Care Santa Ana ,SELEC - - ,OB/GYN Alfred Lavi United Care Family Medical Center Los Angeles ,PC III URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,
12,,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,SELEC - - ,PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,SELEC - - ,EM M. Agron Methodist Hospital of Southern California Arcadia ,PEDS Chi Truong Emanate Health West Covina ,PC III FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,INT MED Gerald Ho Arthritis Center Alhambra ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,
13,,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,PC II NEURO Faisal Qazi The Neurology Group Pomona ,SELEC - - ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PEDS Chi Truong Emanate Health West Covina ,EM Kevin Hua Emanate Health West Covina ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,SURG Raffaele Corbisiero Emanate Health West Covina ,PC III URGENT CARE John Cheng South Coast Medical Group Aliso Viejo ,SELEC - - ,
14,,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,SELEC - - ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,FP/COMM PSY Sharnjeet  Dosanjh Clinica Medical General Los Angeles ,SURG Raffaele Corbisiero Emanate Health West Covina ,"PEDS Elliot Weinstein Elliot Weinstein, MD Rancho Cucamonga ","PC III FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",
15,,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,PC II GASTRO Dennis Riff Associated Gastroenterology Medical Group Anaheim GOOD,"INT MED Viney Soni R Viney Soni, MD Fountain Valley ",EM Kevin Hua Emanate Health West Covina ,"PC I INT MED Ricardo Saca Ricardo Saca, MD Chino ",PEDS Chi Truong Emanate Health West Covina ,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,PC III URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,"SURG Simon B. Rayhanabad, MD & Lakewood Regional Medical Center Lakewood GOOD",SELEC - - ,
16,,PC II URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,SELEC - - ,SURG Robinson Baron Emanate Health West Covina ,PC I FP/COMM PSY Atul Bembi West Point Medical Clinic Fontana ,SELEC - - ,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PEDS Chi Truong Emanate Health West Covina ,PC III FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,
17,,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ","INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",SURG Robinson Baron Emanate Health West Covina ,PC I INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,SELEC - - ,SELEC - - ,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,"PC III FP / COMM PSY Behzad Souferzackh R Behzad Soufer, DO, APC Sherman Oaks ",PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,
18,,"PC II INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura 09/01 / 22-09 / 30/22 FALL","FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",INT MED James Stewart Stewart Medical Group Alhambra ,SURG Raffaele Corbisiero Emanate Health West Covina ,PC I FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,IN Kevin Hua Emanate Health West Covina ,PC III URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,SELEC - - ,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,
19,,PC II URGENT CARE Raffi Kazazian R Prohealth Glendale Occupational Medical Group Glendale ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,"INT MED David Zarian David Zarian, MD Encino ",SURG Raffaele Corbisiero Emanate Health West Covina ,PC I INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,IN Kevin Hua Emanate Health West Covina ,SELEC - - ,"PC III INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",FP/COMM PSY Sharnjeet  Dosanjh Clinica Medical General Los Angeles ,SELEC - - ,
20,,FP/COMM PSY Michael Lee Concentra Urgent Care-Pomona Pomona 09/01 / 22-09 / 30/22,PC II URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,"INT MED Ricardo Saca Ricardo Saca, MD Chino 01/11/22 - 11/30/22 FALL",SURG Anthony Oh Emanate Health West Covina ,PC I INT MED Gerald Ho Arthritis Center Alhambra ,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,IN Joseph Casas St. Mary Medical Center Apple Valley ,SELEC - - ,PC III FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,PEDS Reza Ahmadinia - Apple Valley ,SELEC - - ,
21,,PC II GASTRO Dennis Riff Associated Gastroenterology Medical Group Anaheim GOOD,FP/COMM PSY Atul Bembi West Point Medical Clinic Fontana  SPRING,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,OB/GYN Marlon Brooks Providence Holy Cross Mission Hills GOOD,IN Kevin Hua Emanate Health West Covina ,PEDS Chi Truong Emanate Health West Covina ,SURG David Wong ARMC-Graduate Medical Education Colton ,SELEC - - ,PC III URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,SELEC - - ,
22,,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,FP/COMM PSY Gary Linnemann R Pacific Medical Clinic Santa Ana ,"INT MED James Song James Song, MD Hacienda Heights ",SURG David Wong ARMC-Graduate Medical Education Colton ,PC I FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,OB/GYN Reza Ahmadinia - Apple Valley ,SELEC - - ,PEDS Chi Truong Emanate Health West Covina ,"PC III INT MED James Song James Song, MD Hacienda Heights ",IN Frank Figueroa Glendale Adventist Medical Center Glendale ,SELEC - - ,
23,,PC II URGENT CARE Atul Bembi West Point Medical Clinic Fontana ,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SURG Anthony Oh Emanate Health West Covina ,PC I FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,PEDS Atul Bembi West Point Medical Clinic Fontana ,EM Naomi Bjornstad St. Bernadine Medical Center San Bernardino ,"INT MED James Song James Song, MD Hacienda Heights ",PC III FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,SELEC - - ,
24,,OB / GYN Alfred Lavi United Care Family Medical Center Los Angeles ,PC II URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,FP/COMM PSY Gary Linnemann R Pacific Medical Clinic Santa Ana ,"INT MED James Song James Song, MD Hacienda Heights ",SELEC - - ,PC I INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,PEDS Chi Truong Emanate Health West Covina ,EM M. Agron Methodist Hospital of Southern California Arcadia ,SURG Raffaele Corbisiero Emanate Health West Covina ,PC III URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,SELEC - - ,
25,,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,FP/COMM PSY Howard Fishbein Family Care Centers Medical Group Inc Irvine GOOD,PC II GASTRO Dennis Riff Associated Gastroenterology Medical Group Anaheim GOOD,"SURG Simon B. Rayhanabad, MD & Vascular and General Surgery Associates Los Alamitos GOOD",PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PEDS Chi Truong Emanate Health West Covina  SUMMER,SELEC - - ,"INT MED Viney Soni R Viney Soni, MD Fountain Valley ",PC III URGENT CARE John Cheng South Coast Medical Group Aliso Viejo ,EM M. Agron Methodist Hospital of Southern California Arcadia ,
26,,OB/GYN Reza Ahmadinia - Apple Valley ,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,PC II FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,"INT MED Anita Kundi R Anita Kundi, DO Chino ",EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,PEDS Sushil Anand Sunshine Pediatrics Upland ,SELEC - - ,PC I FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,SELEC - - ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,PC III FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,
27,,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,"INT MED Viney Soni R Viney Soni, MD Fountain Valley ",PC II FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,SELEC - - ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,PC III FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,"PEDS Elliot Weinstein Elliot Weinstein, MD Rancho Cucamonga ",
28,,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ","INT MED David Zarian David Zarian, MD Encino ",SURG Simon Keushkerian Surgical MultiSpecialties Glendale ,"PC I FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",PEDS Chi Truong Emanate Health West Covina ,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,"PC III INT MED David Zarian David Zarian, MD Encino ",SELEC - - ,SELEC - - ,
29,,SELEC - - ,PC II URGENT CARE Raffi Kazazian R Prohealth Glendale Occupational Medical Group Glendale ,FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,IN Kevin Hua Emanate Health West Covina ,"PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC III URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,SURG Simon Keushkerian Glendale Adventist Medical Center Glendale ,"PC I FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",
30,,SELEC - - ,"PC II URGENT CARE Walter Jones, III Redlands Yucaipa Medical Group Redlands ",SELEC - - ,INT MED James Stewart Stewart Medical Group Alhambra ,SURG Raffaele Corbisiero Emanate Health West Covina ,EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,OB / GYN Alfred Lavi United Care Family Medical Center Los Angeles ,PC I FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,PEDS Atul Bembi West Point Medical Clinic Fontana ,PC III URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,
31,,PC I FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,SELEC - - ,SELEC - - ,SURG Raffaele Corbisiero Emanate Health West Covina ,OB/GYN K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,IN Kevin Hua Emanate Health West Covina ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",PC III FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,
32,,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,FP/COMM PSY Tony Lee Kaiser Permanente San Bernardino San Bernardino ,SELEC - - ,SURG Anthony Oh Emanate Health West Covina ,"PC I INT MED Ricardo Saca Ricardo Saca, MD Chino 01/02/23 - 02/28/23 SPRING",SELEC - - ,IN Joseph Casas St. Mary Medical Center Apple Valley ,PC II FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,"INT MED James Song James Song, MD Hacienda Heights ",PC III FP/COMM PSY Atul Bembi West Point Medical Clinic Fontana ,
33,,FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PC I FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,SELEC - - ,OB/GYN Reza Ahmadinia - Apple Valley ,PEDS Reza Ahmadinia - Apple Valley ,EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,PC III FP/COMM PSY Howard Fishbein Family Care Centers Medical Group Inc Irvine GOOD,SURG Anthony Oh Emanate Health West Covina ,SELEC - - ,
34,,PEDS Chi Truong Emanate Health West Covina ,SELEC - - ,PC II URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,FP/COMM PSY Luis Rivera - Santa Ana GOOD,SURG David Wong ARMC-Graduate Medical Education Colton ,SELEC - - ,PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,IN Kevin Hua Emanate Health West Covina ,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,PC III INT MED Jenny  Espinoza-Marcus CDCR Department of Corrections Norco ,OB/GYN K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,
