id,rank,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9,rot10,rot11,notes
35,,EM M. Agron Methodist Hospital of Southern California Arcadia ,SELEC - - ,SELEC - - ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,"INT MED James Song James Song, MD Hacienda Heights ",SURG Anthony Oh Emanate Health West Covina ,"PC I INT MED Ricardo Saca Ricardo Saca, MD Chino ","PEDS Elliot Weinstein Elliot Weinstein, MD Rancho Cucamonga ",OB/GYN Reza Ahmadinia - Apple Valley ,PC III INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,FP/COMM PSY Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,
36,,SELEC - - ,PC II CARDIO Ramanna Merla R Chaparral Medical Group Pomona Pomona GOOD,OB/GYN Reza Ahmadinia - Apple Valley ,PC I INT MED Jenny Espinoza-Marcus CDCR Department of Corrections Norco ,"INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",SURG David Wong ARMC-Graduate Medical Education Colton ,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,SELEC - - ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,"PC III URGENT CARE Walter Jones, III Redlands Community Hospital Redlands ",PEDS Reza Ahmadinia - Apple Valley ,
37,,SELEC - - ,SELEC - - ,PC II URGENT CARE Atul Bembi West Point Medical Clinic Fontana ,FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,"INT MED Viney Soni R Viney Soni, MD Fountain Valley ",SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,OB/GYN K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,IN Kevin Hua Emanate Health West Covina ,PC III URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,PEDS Atul Bembi West Point Medical Clinic Fontana ,
38,,SELEC - - ,PC I FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,IN Kevin Hua Emanate Health West Covina ,OB/GYN K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,PEDS Chi Truong Emanate Health West Covina ,SELEC - - ,PC III INT MED James Stewart Stewart Medical Group Alhambra ,SURG Raffaele Corbisiero Emanate Health West Covina ,
39,,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,SELEC - - ,PC II URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,INT MED James Stewart Stewart Medical Group Alhambra ,SURG Robinson Baron Emanate Health West Covina ,PC I INT MED Jenny Espinoza-Marcus CDCR Department of Corrections Norco  FALL,SELEC - - ,OB/GYN K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,PC III INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PEDS Viet  Hoang R Makena Pediatrics Arcadia ,
40,,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,SELEC - - ,PC II URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,OB / GYN Alfred Lavi United Care Family Medical Center Los Angeles ,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,SURG Simon Keushkerian Glendale Adventist Medical Center Glendale ,PC I INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PEDS Sushil Anand Sunshine Pediatrics Upland ,PC III URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",SELEC - - ,
41,,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,SELEC - - ,PC II GASTRO Fernando  Ibarra R Monterey Park Hospital Monterey Park ,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,"INT MED James Song James Song, MD Hacienda Heights ",SURG Raffaele Corbisiero Emanate Health West Covina ,"PC I INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ","PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",EM Tiana Davison R San Gorgonio Memorial Hospital Banning ,PC III FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,SELEC - - ,
42,,EM Kevin Hua Emanate Health West Covina ,FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,SELEC - - ,"INT MED Anita Kundi R Anita Kundi, DO Chino ",SURG Anthony Oh Emanate Health West Covina ,PC I FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,SELEC - - ,OB/GYN Reza Ahmadinia - Apple Valley ,PEDS Reza Ahmadinia - Apple Valley ,"PC III URGENT CARE Walter Jones, III Redlands Yucaipa Medical Group Redlands ",
43,,E. M. Joseph Casas St. Mary Medical Center Apple Valley ,SELEC - - ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,PEDS Sushil Anand Sunshine Pediatrics Upland ,SURG Raffaele Corbisiero Emanate Health West Covina ,"PC I INT MED James Song James Song, MD Hacienda Heights ","INT MED Anita Kundi R Anita Kundi, DO Chino ",OB/GYN Reza Ahmadinia - Apple Valley ,"PC III FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",SELEC - - ,
44,,PEDS Chi Truong Emanate Health West Covina ,EM M. Agron Methodist Hospital of Southern California Arcadia ,PC II FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,FP/COMM PSY Gary Linnemann R Pacific Medical Clinic Santa Ana ,OB/GYN Reza Ahmadinia - Apple Valley ,SURG Anthony Oh Emanate Health West Covina ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,SELEC - - ,PC III URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,
45,,"PEDS Elliot Weinstein Elliot Weinstein, MD Rancho Cucamonga ",SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC II URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,INT MED James Stewart Stewart Medical Group Alhambra ,SURG Anthony Oh Emanate Health West Covina ,PC I FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,SELEC - - ,PC III FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,
46,,SELEC - - ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,PC II FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PC I FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,SURG Anthony Oh Emanate Health West Covina ,INT MED Jenny Espinoza-Marcus CDCR Department of Corrections Norco ,PEDS Reza Ahmadinia - Apple Valley ,SELEC - - ,PC III FP/COMM PSY Michael Lee Concentra Urgent Care-Pomona Pomona ,
47,,OB/GYN Marlon Brooks Brooks Women's Center Granada Hills ,SELEC - - ,SELEC - - ,PC II INT WITH Gerald Ho Arthritis Center Alhambra ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ","INT MED James Song James Song, MD Hacienda Heights ",EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,"PC I FP / COMM PSY Behzad Souferzackh R Behzad Soufer, DO, APC Sherman Oaks ","PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",PC III URGENT CARE Stephen Turay Kaiser Permanente Ontario Ontario ,SURG Raffaele Corbisiero Emanate Health West Covina ,
48,,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,IN Kevin Hua Emanate Health West Covina ,OB/GYN Marlon Brooks Brooks Women's Center Granada Hills ,PC II CARDIO Ramanna Merla R Chaparral Medical Group Pomona Pomona GOOD,SELEC - - ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",SURG Raffaele Corbisiero Emanate Health West Covina ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ","PC III INT MED David  Zarian David Zarian, MD Encino ",SELEC - - ,
49,,SELEC - - ,SELEC - - ,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,FP/COMM PSY Howard Fishbein Family Care Centers Medical Group Inc Irvine GOOD,PC II URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,"SURG Simon B. Rayhanabad, MD & Vascular and General Surgery Associates Los Alamitos GOOD",PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,PEDS Chi Truong Emanate Health West Covina ,PC III FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,
50,,SELEC - - ,SELEC - - ,OB/GYN Reza Ahmadinia - Apple Valley ,PC II URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,PEDS Reza Ahmadinia - Apple Valley ,"INT MED Anita Kundi R Anita Kundi, DO Chino ",SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,"PC I FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PC III URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,IN Kevin Hua Emanate Health West Covina ,
51,,SELEC - - ,PC I INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,SURG Simon Keushkerian Glendale Adventist Medical Center Glendale ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SELEC - - ,PC III FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,
52,,SELEC - - ,EM Joseph Casas St. Mary Medical Center Apple Valley ,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PC II URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,FP/COMM PSY - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SURG - - ,"PC I INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",PEDS K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,SELEC - - ,PC III FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,
53,,OB/GYN Reza Ahmadinia - Apple Valley ,EM Naomi Bjornstad St. Bernadine Medical Center San Bernardino ,PEDS Reza Ahmadinia - Apple Valley ,PC II URGENT CARE Atul Bembi West Point Medical Clinic Fontana ,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,"INT MED Ricardo Saca Ricardo Saca, MD Chino ",SURG Raffaele Corbisiero Emanate Health West Covina ,PC I FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,SELEC - - ,PC III URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,SELEC - - ,
54,,"PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",IN - - ,OB/GYN Reza Ahmadinia - Apple Valley ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,"INT MED James Song James Song, MD Hacienda Heights ",SURG Robinson Baron Emanate Health West Covina ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,"PC III INT MED Ricardo Saca Ricardo Saca, MD Chino ",SELEC - - ,SELEC - - ,
55,,SELEC - - ,FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,"INT MED James Song James Song, MD Hacienda Heights ",PC II FP/COMM PSY Tony Lee Kaiser Permanente San Bernardino San Bernardino ,OB/GYN Reza Ahmadinia - Apple Valley ,PEDS Reza Ahmadinia - Apple Valley ,SURG Robinson Baron Emanate Health West Covina ,"PC I INT MED Ricardo Saca Ricardo Saca, MD Chino ",PC III URGENT CARE Stephen Turay Kaiser Permanente Ontario Ontario ,IN - - ,SELEC - - ,
56,,PC I FP/COMM PSY - - ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,SELEC - - ,OB/GYN Reza Ahmadinia - Apple Valley ,PC II URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,SURG - - ,SELEC - - ,PEDS Atul Bembi West Point Medical Clinic Fontana ,PC III FP/COMM PSY Howard Fishbein Family Care Centers Medical Group Inc Irvine GOOD,
57,,"PC I INT MED James Song James Song, MD Hacienda Heights ",SELEC - - ,EM M. Agron Methodist Hospital of Southern California Arcadia ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC II URGENT CARE Atul Bembi West Point Medical Clinic Fontana ,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,INT MED - - ,"SURG Simon B. Rayhanabad, MD & Vascular and General Surgery Associates Los Alamitos GOOD",PEDS Sushil Anand Sunshine Pediatrics Upland ,PC III FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,
58,,FP / COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,OB/GYN Marlon Brooks Brooks Women's Center Granada Hills ,INT MED Gerald Ho Arthritis Center Alhambra ,SELEC - - ,PC II CARDIO Ramanna Merla R Chaparral Medical Group Pomona Pomona GOOD,PC I FP/COMM PSY - - ,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,SELEC - - ,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,SURG Raffaele Corbisiero Emanate Health West Covina ,"PC III INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",
59,,PC I INT MED - - ,PEDS Sushil Anand Sunshine Pediatrics Upland ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SELEC - - ,"PC II INT MED James Song James Song, MD Hacienda Heights ",FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,INT MED - - ,EM - - ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,PC III FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,
60,,"PC I FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",SELEC - - ,IN Kevin Hua Emanate Health West Covina ,OB/GYN Marlon Brooks Brooks Women's Center Granada Hills ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,"INT MED David Zarian David Zarian, MD Encino ",SURG Simon Keushkerian Glendale Adventist Medical Center Glendale ,"PEDS Happy Khanna Happy Khanna, MD, Inc Glendale ","PC III INT MED James Song James Song, MD Hacienda Heights ",SELEC - - ,
61,,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,SELEC - - ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,"SELEC ENDO Marc Gutin R Marc Gutin, MD Glendora ",FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,OB/GYN Marlon Brooks Brooks Women's Center Granada Hills ,SURG Robinson Baron Emanate Health West Covina ,PEDS Viet  Hoang R Makena Pediatrics Arcadia ,PC III URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,
62,,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PEDS Viet  Hoang R Makena Pediatrics Arcadia ,IN Kevin Hua Emanate Health West Covina ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,PC I FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,INT MED James Stewart Stewart Medical Group Alhambra ,SURG Raffaele Corbisiero Emanate Health West Covina ,SELEC - -  SPRING,"PC III FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",SELEC - - ,
63,,"INT MED Ricardo Saca Ricardo Saca, MD Chino ",PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,IN Joseph Casas St. Mary Medical Center Apple Valley ,PC I FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PC II URGENT CARE Raffi Kazazian R Prohealth Glendale Occupational Medical Group Glendale ,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SURG Raffaele Corbisiero Emanate Health West Covina ,SELEC - - ,PC III FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,SELEC - - ,
64,,"INT MED James Song James Song, MD Hacienda Heights ",PEDS Atul Bembi West Point Medical Clinic Fontana ,OB/GYN Reza Ahmadinia - Apple Valley ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,"PC II URGENT CARE Walter Jones, III Redlands Yucaipa Medical Group Redlands ",SELEC - - ,SELEC - - ,SURG Anthony Oh Emanate Health West Covina ,FP/COMM PSY Michael Lee Concentra Urgent Care-Pomona Pomona ,PC III FP/COMM PSY Atul Bembi West Point Medical Clinic Fontana ,PC I FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,
65,,SELEC - - ,"PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",IN Kevin Hua Emanate Health West Covina ,"INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,SURG Robinson Baron Emanate Health West Covina ,SELEC PC I Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,OB/GYN Marlon Brooks Providence Holy Cross Mission Hills GOOD,PC III INT MED Jenny  Espinoza-Marcus CDCR Department of Corrections Norco ,
66,,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,PC II GASTRO Dennis Riff Associated Gastroenterology Medical Group Anaheim GOOD,PEDS Sushil Anand Sunshine Pediatrics Upland ,PC I FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,INT MED Jenny Espinoza-Marcus CDCR Department of Corrections Norco ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SELEC - - ,SELEC - - ,PC III URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,
67,,SURG Robinson Baron Emanate Health West Covina ,PC I FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,"PEDS Elliot Weinstein Elliot Weinstein, MD Rancho Cucamonga ",SELEC - - ,OB/GYN Reza Ahmadinia - Apple Valley ,INT MED Jenny Espinoza-Marcus CDCR Department of Corrections Norco ,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PC II URGENT CARE Stephen Turay Kaiser Permanente Ontario Ontario ,SELEC - - ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,PC III FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,
68,,SURG Robinson Baron Emanate Health West Covina ,INT MED Jenny Espinoza-Marcus CDCR Department of Corrections Norco ,"PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",FP/COMM PSY Atul Bembi West Point Medical Clinic Fontana ,OB / GYN - - ,"PC II URGENT CARE Walter Jones, III Redlands Yucaipa Medical Group Redlands ",SELEC - - ,SELEC - - ,IN Joseph Casas St. Mary Medical Center Apple Valley ,PC I FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PC III FP/COMM PSY Tony Lee Kaiser Permanente San Bernardino San Bernardino ,
69,,SELEC - - ,PC I INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,PEDS Chi Truong Emanate Health West Covina ,EM Kevin Hua Emanate Health West Covina ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC II URGENT CARE Raffi Kazazian R Prohealth Glendale Occupational Medical Group Glendale ,FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,"INT MED David  Zarian David Zarian, MD Encino ",SURG Robinson Baron Emanate Health West Covina ,SELEC - - ,PC III URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,
70,,SURG Raffaele Corbisiero Emanate Health West Covina ,SELEC - - ,OB/GYN Reza Ahmadinia - Apple Valley ,PEDS Reza Ahmadinia - Apple Valley ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,"INT MED Ricardo Saca Ricardo Saca, MD Chino 01/02/23 - 02/28/23 SPRING",PC I FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PC II URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SELEC - - ,"PC III INT MED Ricardo Saca Ricardo Saca, MD Chino ",
